,ident,actual_ident,departuretime,arrivaltime,origin,destination,aircrafttype,meal_service,seats_cabin_first,seats_cabin_business,seats_cabin_coach,flight_id,departuretime_human,arrivaltime_human,depart_date,arrive_date,depart_timestamp,arrive_timestamp,depart_time_hour_stamp,arrive_time_hour_stamp
135,SWA32,,1487606100,1487618100,KPIT,KHOU,B733,,0,0,143,SWA32-1487399280-airline-0366,2017-02-20 15:55:00,2017-02-20 19:15:00,2017-02-20,2017-02-20,15:55:00,19:15:00,15,19
136,SWA26,,1487604600,1487613300,KTPA,KHOU,B733,,0,0,143,SWA26-1487399280-airline-0027,2017-02-20 15:30:00,2017-02-20 17:55:00,2017-02-20,2017-02-20,15:30:00,17:55:00,15,17
137,SWA1793,,1487591400,1487599500,KSTL,KHOU,B737,,0,0,143,SWA1793-1487399281-airline-0042,2017-02-20 11:50:00,2017-02-20 14:05:00,2017-02-20,2017-02-20,11:50:00,14:05:00,11,14
138,SWA308,,1487634300,1487643000,MMUN,KHOU,B737,,0,0,143,SWA308-1487399281-airline-0833,2017-02-20 23:45:00,2017-02-21 02:10:00,2017-02-20,2017-02-21,23:45:00,02:10:00,23,2
139,SWA306,,1487616300,1487625300,MMUN,KHOU,B737,,0,0,143,SWA306-1487399281-airline-0227,2017-02-20 18:45:00,2017-02-20 21:15:00,2017-02-20,2017-02-20,18:45:00,21:15:00,18,21
140,SWA1761,,1487601600,1487610300,KPHX,KHOU,B733,,0,0,143,SWA1761-1487399281-airline-0043,2017-02-20 14:40:00,2017-02-20 17:05:00,2017-02-20,2017-02-20,14:40:00,17:05:00,14,17
141,SWA1653,,1487621100,1487629800,KPHX,KHOU,B737,,0,0,143,SWA1653-1487399281-airline-0602,2017-02-20 20:05:00,2017-02-20 22:30:00,2017-02-20,2017-02-20,20:05:00,22:30:00,20,22
142,SWA4430,,1487628300,1487637300,KPHX,KHOU,B738,,0,0,175,SWA4430-1487399282-airline-0002,2017-02-20 22:05:00,2017-02-21 00:35:00,2017-02-20,2017-02-21,22:05:00,00:35:00,22,0
143,SWA554,,1487623500,1487637900,KPDX,KHOU,B737,,0,0,143,SWA554-1487399283-airline-0572,2017-02-20 20:45:00,2017-02-21 00:45:00,2017-02-20,2017-02-21,20:45:00,00:45:00,20,0
144,SWA439,,1487613900,1487618700,KOKC,KHOU,B733,,0,0,143,SWA439-1487399282-airline-0015,2017-02-20 18:05:00,2017-02-20 19:25:00,2017-02-20,2017-02-20,18:05:00,19:25:00,18,19
145,SWA1628,,1487592000,1487595900,KDAL,KHOU,B737,,0,0,143,SWA1628-1487399281-airline-0514,2017-02-20 12:00:00,2017-02-20 13:05:00,2017-02-20,2017-02-20,12:00:00,13:05:00,12,13
146,SWA1,,1487595600,1487599500,KDAL,KHOU,B738,,0,0,175,SWA1-1487399280-airline-0477,2017-02-20 13:00:00,2017-02-20 14:05:00,2017-02-20,2017-02-20,13:00:00,14:05:00,13,14
147,SWA5,,1487599200,1487603100,KDAL,KHOU,B737,,0,0,143,SWA5-1487399280-airline-0014,2017-02-20 14:00:00,2017-02-20 15:05:00,2017-02-20,2017-02-20,14:00:00,15:05:00,14,15
148,SWA7,,1487601000,1487604900,KDAL,KHOU,B737,,0,0,143,SWA7-1487399280-airline-0334,2017-02-20 14:30:00,2017-02-20 15:35:00,2017-02-20,2017-02-20,14:30:00,15:35:00,14,15
149,SWA9,,1487602800,1487606700,KDAL,KHOU,B737,,0,0,143,SWA9-1487399280-airline-0454,2017-02-20 15:00:00,2017-02-20 16:05:00,2017-02-20,2017-02-20,15:00:00,16:05:00,15,16
150,SWA15,,1487606400,1487610300,KDAL,KHOU,B737,,0,0,143,SWA15-1487399280-airline-0622,2017-02-20 16:00:00,2017-02-20 17:05:00,2017-02-20,2017-02-20,16:00:00,17:05:00,16,17
151,SWA17,,1487610000,1487613900,KDAL,KHOU,B733,,0,0,137,SWA17-1487399280-airline-0184,2017-02-20 17:00:00,2017-02-20 18:05:00,2017-02-20,2017-02-20,17:00:00,18:05:00,17,18
152,SWA21,,1487613600,1487617500,KDAL,KHOU,B733,,0,0,137,SWA21-1487399280-airline-0358,2017-02-20 18:00:00,2017-02-20 19:05:00,2017-02-20,2017-02-20,18:00:00,19:05:00,18,19
153,SWA25,,1487615400,1487619300,KDAL,KHOU,B737,,0,0,143,SWA25-1487399280-airline-0397,2017-02-20 18:30:00,2017-02-20 19:35:00,2017-02-20,2017-02-20,18:30:00,19:35:00,18,19
154,SWA27,,1487617200,1487621100,KDAL,KHOU,B733,,0,0,143,SWA27-1487399280-airline-0513,2017-02-20 19:00:00,2017-02-20 20:05:00,2017-02-20,2017-02-20,19:00:00,20:05:00,19,20
155,SWA31,,1487620800,1487624700,KDAL,KHOU,B733,,0,0,143,SWA31-1487399280-airline-0164,2017-02-20 20:00:00,2017-02-20 21:05:00,2017-02-20,2017-02-20,20:00:00,21:05:00,20,21
156,SWA33,,1487622600,1487626500,KDAL,KHOU,B733,,0,0,143,SWA33-1487399280-airline-0204,2017-02-20 20:30:00,2017-02-20 21:35:00,2017-02-20,2017-02-20,20:30:00,21:35:00,20,21
157,SWA35,,1487624400,1487628300,KDAL,KHOU,B733,,0,0,143,SWA35-1487399280-airline-0260,2017-02-20 21:00:00,2017-02-20 22:05:00,2017-02-20,2017-02-20,21:00:00,22:05:00,21,22
158,SWA39,,1487628000,1487631900,KDAL,KHOU,B737,,0,0,143,SWA39-1487399280-airline-0628,2017-02-20 22:00:00,2017-02-20 23:05:00,2017-02-20,2017-02-20,22:00:00,23:05:00,22,23
