ident,actual_ident,departuretime,arrivaltime,origin,destination,aircrafttype,meal_service,seats_cabin_first,seats_cabin_business,seats_cabin_coach,flight_id
SWA4266,,1487555100,1487560500,KTUL,KHOU,B737,,0,0,143,SWA4266-1487312847-airline-0420
SWA3760,,1487552100,1487560800,KTPA,KHOU,B737,,0,0,143,SWA3760-1487312847-airline-0173
SWA4682,,1487550000,1487560200,KLAS,KHOU,B738,,0,0,175,SWA4682-1487312847-airline-0056
SWA3104,,1487550900,1487554200,KSAT,KHOU,B733,,0,0,143,SWA3104-1487312847-airline-0431
SWA5317,,1487556900,1487567100,KLAS,KHOU,B737,,0,0,143,SWA5317-1487312847-airline-0473
SWA4601,,1487556600,1487560800,KMSY,KHOU,B737,,0,0,143,SWA4601-1487312847-airline-0326
SWA5368,,1487561100,1487565300,KMSY,KHOU,B737,,0,0,143,SWA5368-1487312847-airline-0796
SWA5445,,1487556000,1487565600,KMCO,KHOU,B733,,0,0,143,SWA5445-1487312847-airline-0002
SWA3111,,1487554800,1487561100,KMEM,KHOU,B737,,0,0,143,SWA3111-1487312847-airline-0570
SWA3786,,1487559000,1487567400,KPHX,KHOU,B737,,0,0,143,SWA3786-1487312847-airline-0453
SWA3209,,1487555400,1487559000,KHRL,KHOU,B733,,0,0,143,SWA3209-1487312847-airline-0793
SWA4243,,1487554500,1487559600,KOKC,KHOU,B737,,0,0,143,SWA4243-1487312847-airline-0366
JAL7242,ASH5818,1487551560,1487555820,KDFW,KHOU,CRJ9,,0,0,86,ASH5818-1487312731-airline-0362
ETD3621,ASH5818,1487551560,1487555820,KDFW,KHOU,CRJ9,,0,0,86,ASH5818-1487312731-airline-0362
BAW1733,ASH5818,1487551560,1487555820,KDFW,KHOU,CRJ9,,0,0,86,ASH5818-1487312731-airline-0362
AAL5818,ASH5818,1487551560,1487555820,KDFW,KHOU,CRJ9,,0,0,86,ASH5818-1487312731-airline-0362
SWA1849,,1487554500,1487561400,KBHM,KHOU,B737,,0,0,143,SWA1849-1487312841-airline-0431
SWA862,,1487592300,1487598600,KMEM,KHOU,B738,,0,0,175,SWA862-1487399283-airline-0538
BAW4886,ASH5792,1487609400,1487613720,KDFW,KHOU,CRJ9,,0,0,86,ASH5792-1487399166-airline-0051
JAL7244,ASH5792,1487609400,1487613720,KDFW,KHOU,CRJ9,,0,0,86,ASH5792-1487399166-airline-0051
AAL5941,ASH5941,1487615700,1487619900,KDFW,KHOU,CRJ9,,0,0,86,ASH5941-1487399155-airline-0333
BAW5293,ASH5941,1487615700,1487619900,KDFW,KHOU,CRJ9,,0,0,86,ASH5941-1487399155-airline-0333
AAL2786,ASQ2786,1487623800,1487628120,KDFW,KHOU,CRJ7,,9,0,54,ASQ2786-1487399166-airline-0053
ASA6102,ASQ2786,1487623800,1487628120,KDFW,KHOU,CRJ7,,9,0,54,ASQ2786-1487399166-airline-0053
BAW4916,ASQ2786,1487623800,1487628120,KDFW,KHOU,CRJ7,First: Food for sale / Economy: Food for sale,9,0,54,ASQ2786-1487399166-airline-0053
QFA4662,ASQ2786,1487623800,1487628120,KDFW,KHOU,CRJ7,First: No meal / Economy: No meal,9,0,54,ASQ2786-1487399166-airline-0053
AAL5727,ASH5727,1487629500,1487633580,KDFW,KHOU,CRJ9,,0,0,86,ASH5727-1487399165-airline-0164
ASA4072,ASH5727,1487629500,1487633580,KDFW,KHOU,CRJ9,,0,0,86,ASH5727-1487399165-airline-0164
BAW5173,ASH5727,1487629500,1487633580,KDFW,KHOU,CRJ9,,0,0,86,ASH5727-1487399165-airline-0164
SWA1632,,1487589600,1487598000,KATL,KHOU,B737,,0,0,143,SWA1632-1487399281-airline-0930
AAL3382,ENY3382,1487601900,1487606520,KDFW,KHOU,E170,,12,0,64,ENY3382-1487399154-airline-0178
ASA4634,ENY3382,1487601900,1487606520,KDFW,KHOU,E170,,12,0,64,ENY3382-1487399154-airline-0178
BAW4895,ENY3382,1487601900,1487606520,KDFW,KHOU,E170,,12,0,64,ENY3382-1487399154-airline-0178
AAL5792,ASH5792,1487609400,1487613720,KDFW,KHOU,CRJ9,,0,0,86,ASH5792-1487399166-airline-0051
SWA1735,,1487592000,1487598900,KBHM,KHOU,B733,,0,0,137,SWA1735-1487399281-airline-0697
SWA329,,1487605200,1487612100,KECP,KHOU,B737,,0,0,143,SWA329-1487399281-airline-0458
SWA766,,1487599800,1487606100,KELP,KHOU,B733,,0,0,143,SWA766-1487399283-airline-0219
SWA44,,1487622300,1487628600,KELP,KHOU,B733,,0,0,143,SWA44-1487399280-airline-0641
SWA426,,1487631300,1487637600,KELP,KHOU,B737,,0,0,143,SWA426-1487399282-airline-0658
SWA376,,1487635200,1487638200,KSAT,KHOU,B733,,0,0,143,
SWA1413,,1487625900,1487629200,KSAT,KHOU,B737,,0,0,143,SWA1413-1487399281-airline-0944
SWA927,,1487588400,1487598900,KFLL,KHOU,B738,,0,0,175,SWA927-1487399283-airline-0355
SWA301,,1487628300,1487638200,KMDW,KHOU,B738,,0,0,175,SWA301-1487399281-airline-0693
SWA843,,1487614800,1487617800,KSAT,KHOU,B737,,0,0,143,SWA843-1487399283-airline-0041
SWA3818,,1487628900,1487637000,KBNA,KHOU,B733,,0,0,143,SWA3818-1487399281-airline-0505
SWA1021,,1487620800,1487628900,KBNA,KHOU,B738,,0,0,175,SWA1021-1487399280-airline-0305
SWA1513,,1487590800,1487599200,KBNA,KHOU,B733,,0,0,143,SWA1513-1487399281-airline-0680
DAL1638,,1487596800,1487605440,KATL,KHOU,,First: Refreshments / Economy: Refreshments,12,0,98,DAL1638-1487399178-airline-0406
KLM6450,DAL1638,1487596800,1487605440,KATL,KHOU,,First: No meal / Economy: No meal,12,0,98,DAL1638-1487399178-airline-0406
SWA278,,1487632500,1487636100,KHRL,KHOU,B733,,0,0,143,SWA278-1487399281-airline-0739
SWA34,,1487615400,1487619000,KHRL,KHOU,B737,,0,0,143,SWA34-1487399280-airline-0440
SWA295,,1487623800,1487633400,KMDW,KHOU,B738,,0,0,175,SWA295-1487399281-airline-0069
SWA194,,1487609700,1487619300,KMDW,KHOU,B738,,0,0,175,SWA194-1487399281-airline-0969
SWA1488,,1487595900,1487605800,KMDW,KHOU,B738,,0,0,175,SWA1488-1487399281-airline-1004
SWA24,,1487607900,1487611500,KHRL,KHOU,B737,,0,0,143,SWA24-1487399280-airline-0129
SWA849,,1487594400,1487598000,KHRL,KHOU,B737,,0,0,143,SWA849-1487399283-airline-0713
SWA1675,,1487589900,1487599500,KMCO,KHOU,B733,,0,0,143,SWA1675-1487399281-airline-0920
DAL1912,,1487605860,1487614320,KATL,KHOU,MD88,First: Refreshments / Economy: Refreshments,16,0,133,DAL1912-1487399178-airline-0130
SWA1593,,1487595900,1487605800,KIND,KHOU,B738,,0,0,175,SWA1593-1487399281-airline-0883
SWA335,,1487610600,1487619600,KJAX,KHOU,B737,,0,0,143,SWA335-1487399281-airline-0678
SWA1369,,1487608200,1487616900,KATL,KHOU,B737,,0,0,143,SWA1369-1487399281-airline-0162
SWA894,,1487598000,1487607600,KMCO,KHOU,B737,,0,0,143,SWA894-1487399283-airline-0001
